         ;0
X        ;1
O        ;2
 X       ;3
OX       ;4
 O       ;5
XO       ;6
  X      ;7
O X      ;8
OXX      ;9
 OX      ;10
XOX      ;11
OOX      ;12
  O      ;13
X O      ;14
 XO      ;15
XXO      ;16
OXO      ;17
XOO      ;18
   X     ;19
O  X     ;20
OX X     ;21
 O X     ;22
XO X     ;23
OO X     ;24
O XX     ;25
 OXX     ;26
OOXX     ;27
  OX     ;28
X OX     ;29
O OX     ;30
 XOX     ;31
OXOX     ;32
 OOX     ;33
XOOX     ;34
   O     ;35
X  O     ;36
 X O     ;37
XX O     ;38
OX O     ;39
XO O     ;40
  XO     ;41
X XO     ;42
O XO     ;43
 XXO     ;44
OXXO     ;45
 OXO     ;46
XOXO     ;47
X OO     ;48
 XOO     ;49
XXOO     ;50
    X    ;51
O   X    ;52
OX  X    ;53
 O  X    ;54
XO  X    ;55
OO  X    ;56
O X X    ;57
 OX X    ;58
OOX X    ;59
  O X    ;60
X O X    ;61
O O X    ;62
 XO X    ;63
OXO X    ;64
 OO X    ;65
XOO X    ;66
O  XX    ;67
 O XX    ;68
OO XX    ;69
OOXXX    ;70
  OXX    ;71
O OXX    ;72
OXOXX    ;73
 OOXX    ;74
XOOXX    ;75
OOOXX    ;76
   OX    ;77
X  OX    ;78
O  OX    ;79
 X OX    ;80
OX OX    ;81
 O OX    ;82
XO OX    ;83
  XOX    ;84
O XOX    ;85
OXXOX    ;86
 OXOX    ;87
XOXOX    ;88
OOXOX    ;89
  OOX    ;90
X OOX    ;91
 XOOX    ;92
XXOOX    ;93
OXOOX    ;94
XOOOX    ;95
    O    ;96
X   O    ;97
 X  O    ;98
XX  O    ;99
OX  O    ;100
XO  O    ;101
  X O    ;102
X X O    ;103
O X O    ;104
 XX O    ;105
OXX O    ;106
 OX O    ;107
XOX O    ;108
X O O    ;109
 XO O    ;110
XXO O    ;111
   XO    ;112
X  XO    ;113
O  XO    ;114
 X XO    ;115
OX XO    ;116
 O XO    ;117
XO XO    ;118
  XXO    ;119
O XXO    ;120
OXXXO    ;121
 OXXO    ;122
XOXXO    ;123
OOXXO    ;124
  OXO    ;125
X OXO    ;126
 XOXO    ;127
XXOXO    ;128
OXOXO    ;129
XOOXO    ;130
X  OO    ;131
 X OO    ;132
XX OO    ;133
  XOO    ;134
X XOO    ;135
 XXOO    ;136
XXXOO    ;137
OXXOO    ;138
XOXOO    ;139
XXOOO    ;140
     X   ;141
O    X   ;142
OX   X   ;143
 O   X   ;144
XO   X   ;145
OO   X   ;146
O X  X   ;147
 OX  X   ;148
OOX  X   ;149
  O  X   ;150
X O  X   ;151
O O  X   ;152
 XO  X   ;153
OXO  X   ;154
 OO  X   ;155
XOO  X   ;156
O  X X   ;157
 O X X   ;158
OO X X   ;159
OOXX X   ;160
  OX X   ;161
O OX X   ;162
OXOX X   ;163
 OOX X   ;164
XOOX X   ;165
OOOX X   ;166
   O X   ;167
X  O X   ;168
O  O X   ;169
 X O X   ;170
OX O X   ;171
 O O X   ;172
XO O X   ;173
  XO X   ;174
O XO X   ;175
OXXO X   ;176
 OXO X   ;177
XOXO X   ;178
OOXO X   ;179
  OO X   ;180
X OO X   ;181
 XOO X   ;182
XXOO X   ;183
OXOO X   ;184
XOOO X   ;185
O   XX   ;186
 O  XX   ;187
OO  XX   ;188
OOX XX   ;189
  O XX   ;190
O O XX   ;191
OXO XX   ;192
 OO XX   ;193
XOO XX   ;194
OOO XX   ;195
OO XXX   ;196
O OXXX   ;197
 OOXXX   ;198
OOOXXX   ;199
   OXX   ;200
O  OXX   ;201
OX OXX   ;202
 O OXX   ;203
XO OXX   ;204
OO OXX   ;205
O XOXX   ;206
 OXOXX   ;207
OOXOXX   ;208
  OOXX   ;209
X OOXX   ;210
O OOXX   ;211
 XOOXX   ;212
OXOOXX   ;213
 OOOXX   ;214
XOOOXX   ;215
    OX   ;216
X   OX   ;217
O   OX   ;218
 X  OX   ;219
OX  OX   ;220
 O  OX   ;221
XO  OX   ;222
  X OX   ;223
O X OX   ;224
OXX OX   ;225
 OX OX   ;226
XOX OX   ;227
OOX OX   ;228
  O OX   ;229
X O OX   ;230
 XO OX   ;231
XXO OX   ;232
OXO OX   ;233
XOO OX   ;234
   XOX   ;235
O  XOX   ;236
OX XOX   ;237
 O XOX   ;238
XO XOX   ;239
OO XOX   ;240
O XXOX   ;241
 OXXOX   ;242
OOXXOX   ;243
  OXOX   ;244
X OXOX   ;245
O OXOX   ;246
 XOXOX   ;247
OXOXOX   ;248
 OOXOX   ;249
XOOXOX   ;250
   OOX   ;251
X  OOX   ;252
 X OOX   ;253
XX OOX   ;254
OX OOX   ;255
XO OOX   ;256
  XOOX   ;257
X XOOX   ;258
O XOOX   ;259
 XXOOX   ;260
OXXOOX   ;261
 OXOOX   ;262
XOXOOX   ;263
X OOOX   ;264
 XOOOX   ;265
XXOOOX   ;266
     O   ;267
X    O   ;268
 X   O   ;269
XX   O   ;270
OX   O   ;271
XO   O   ;272
  X  O   ;273
X X  O   ;274
O X  O   ;275
 XX  O   ;276
OXX  O   ;277
 OX  O   ;278
XOX  O   ;279
X O  O   ;280
 XO  O   ;281
XXO  O   ;282
   X O   ;283
X  X O   ;284
O  X O   ;285
 X X O   ;286
OX X O   ;287
 O X O   ;288
XO X O   ;289
  XX O   ;290
O XX O   ;291
OXXX O   ;292
 OXX O   ;293
XOXX O   ;294
OOXX O   ;295
  OX O   ;296
X OX O   ;297
 XOX O   ;298
XXOX O   ;299
OXOX O   ;300
XOOX O   ;301
X  O O   ;302
 X O O   ;303
XX O O   ;304
  XO O   ;305
X XO O   ;306
 XXO O   ;307
XXXO O   ;308
OXXO O   ;309
XOXO O   ;310
XXOO O   ;311
    XO   ;312
X   XO   ;313
O   XO   ;314
 X  XO   ;315
OX  XO   ;316
 O  XO   ;317
XO  XO   ;318
  X XO   ;319
O X XO   ;320
OXX XO   ;321
 OX XO   ;322
XOX XO   ;323
OOX XO   ;324
  O XO   ;325
X O XO   ;326
 XO XO   ;327
XXO XO   ;328
OXO XO   ;329
XOO XO   ;330
   XXO   ;331
O  XXO   ;332
OX XXO   ;333
 O XXO   ;334
XO XXO   ;335
OO XXO   ;336
O XXXO   ;337
 OXXXO   ;338
OOXXXO   ;339
  OXXO   ;340
X OXXO   ;341
O OXXO   ;342
 XOXXO   ;343
OXOXXO   ;344
 OOXXO   ;345
XOOXXO   ;346
   OXO   ;347
X  OXO   ;348
 X OXO   ;349
XX OXO   ;350
OX OXO   ;351
XO OXO   ;352
  XOXO   ;353
X XOXO   ;354
O XOXO   ;355
 XXOXO   ;356
OXXOXO   ;357
 OXOXO   ;358
XOXOXO   ;359
X OOXO   ;360
 XOOXO   ;361
XXOOXO   ;362
X   OO   ;363
 X  OO   ;364
XX  OO   ;365
  X OO   ;366
X X OO   ;367
 XX OO   ;368
XXX OO   ;369
OXX OO   ;370
XOX OO   ;371
XXO OO   ;372
   XOO   ;373
X  XOO   ;374
 X XOO   ;375
XX XOO   ;376
OX XOO   ;377
XO XOO   ;378
  XXOO   ;379
X XXOO   ;380
O XXOO   ;381
 XXXOO   ;382
OXXXOO   ;383
 OXXOO   ;384
XOXXOO   ;385
X OXOO   ;386
 XOXOO   ;387
XXOXOO   ;388
XX OOO   ;389
X XOOO   ;390
 XXOOO   ;391
XXXOOO   ;392
      X  ;393
O     X  ;394
OX    X  ;395
 O    X  ;396
XO    X  ;397
OO    X  ;398
O X   X  ;399
 OX   X  ;400
OOX   X  ;401
  O   X  ;402
X O   X  ;403
O O   X  ;404
 XO   X  ;405
OXO   X  ;406
 OO   X  ;407
XOO   X  ;408
O  X  X  ;409
 O X  X  ;410
OO X  X  ;411
OOXX  X  ;412
  OX  X  ;413
O OX  X  ;414
OXOX  X  ;415
 OOX  X  ;416
XOOX  X  ;417
OOOX  X  ;418
   O  X  ;419
X  O  X  ;420
O  O  X  ;421
 X O  X  ;422
OX O  X  ;423
 O O  X  ;424
XO O  X  ;425
  XO  X  ;426
O XO  X  ;427
OXXO  X  ;428
 OXO  X  ;429
XOXO  X  ;430
OOXO  X  ;431
  OO  X  ;432
X OO  X  ;433
 XOO  X  ;434
XXOO  X  ;435
OXOO  X  ;436
XOOO  X  ;437
O   X X  ;438
 O  X X  ;439
OO  X X  ;440
OOX X X  ;441
  O X X  ;442
O O X X  ;443
OXO X X  ;444
 OO X X  ;445
XOO X X  ;446
OOO X X  ;447
OO XX X  ;448
O OXX X  ;449
 OOXX X  ;450
OOOXX X  ;451
   OX X  ;452
O  OX X  ;453
OX OX X  ;454
 O OX X  ;455
XO OX X  ;456
OO OX X  ;457
O XOX X  ;458
 OXOX X  ;459
OOXOX X  ;460
  OOX X  ;461
X OOX X  ;462
O OOX X  ;463
 XOOX X  ;464
OXOOX X  ;465
 OOOX X  ;466
XOOOX X  ;467
    O X  ;468
X   O X  ;469
O   O X  ;470
 X  O X  ;471
OX  O X  ;472
 O  O X  ;473
XO  O X  ;474
  X O X  ;475
O X O X  ;476
OXX O X  ;477
 OX O X  ;478
